# Character-class data read out of the oracle's own ICU 78.2 (Unicode 17.0),
# which the built pdfium_test statically links. Three tables, each a list of
# inclusive code-point ranges in ascending order, one range per line:
#
#   [alpha]  START END          u_isalpha(cp) is true across the range
#   [alnum]  START END          u_isalnum(cp) is true across the range
#   [lower]  START END DELTA    u_tolower(cp) == cp + DELTA across the range
#
# All values are hexadecimal except DELTA, which is signed decimal. A code
# point in no range is non-alphabetic, non-alphanumeric, and maps to itself.
# See PROVENANCE.md for the probe that produced this.

[alpha] 684
0041 005A
0061 007A
00AA 00AA
00B5 00B5
00BA 00BA
00C0 00D6
00D8 00F6
00F8 02C1
02C6 02D1
02E0 02E4
02EC 02EC
02EE 02EE
0370 0374
0376 0377
037A 037D
037F 037F
0386 0386
0388 038A
038C 038C
038E 03A1
03A3 03F5
03F7 0481
048A 052F
0531 0556
0559 0559
0560 0588
05D0 05EA
05EF 05F2
0620 064A
066E 066F
0671 06D3
06D5 06D5
06E5 06E6
06EE 06EF
06FA 06FC
06FF 06FF
0710 0710
0712 072F
074D 07A5
07B1 07B1
07CA 07EA
07F4 07F5
07FA 07FA
0800 0815
081A 081A
0824 0824
0828 0828
0840 0858
0860 086A
0870 0887
0889 088F
08A0 08C9
0904 0939
093D 093D
0950 0950
0958 0961
0971 0980
0985 098C
098F 0990
0993 09A8
09AA 09B0
09B2 09B2
09B6 09B9
09BD 09BD
09CE 09CE
09DC 09DD
09DF 09E1
09F0 09F1
09FC 09FC
0A05 0A0A
0A0F 0A10
0A13 0A28
0A2A 0A30
0A32 0A33
0A35 0A36
0A38 0A39
0A59 0A5C
0A5E 0A5E
0A72 0A74
0A85 0A8D
0A8F 0A91
0A93 0AA8
0AAA 0AB0
0AB2 0AB3
0AB5 0AB9
0ABD 0ABD
0AD0 0AD0
0AE0 0AE1
0AF9 0AF9
0B05 0B0C
0B0F 0B10
0B13 0B28
0B2A 0B30
0B32 0B33
0B35 0B39
0B3D 0B3D
0B5C 0B5D
0B5F 0B61
0B71 0B71
0B83 0B83
0B85 0B8A
0B8E 0B90
0B92 0B95
0B99 0B9A
0B9C 0B9C
0B9E 0B9F
0BA3 0BA4
0BA8 0BAA
0BAE 0BB9
0BD0 0BD0
0C05 0C0C
0C0E 0C10
0C12 0C28
0C2A 0C39
0C3D 0C3D
0C58 0C5A
0C5C 0C5D
0C60 0C61
0C80 0C80
0C85 0C8C
0C8E 0C90
0C92 0CA8
0CAA 0CB3
0CB5 0CB9
0CBD 0CBD
0CDC 0CDE
0CE0 0CE1
0CF1 0CF2
0D04 0D0C
0D0E 0D10
0D12 0D3A
0D3D 0D3D
0D4E 0D4E
0D54 0D56
0D5F 0D61
0D7A 0D7F
0D85 0D96
0D9A 0DB1
0DB3 0DBB
0DBD 0DBD
0DC0 0DC6
0E01 0E30
0E32 0E33
0E40 0E46
0E81 0E82
0E84 0E84
0E86 0E8A
0E8C 0EA3
0EA5 0EA5
0EA7 0EB0
0EB2 0EB3
0EBD 0EBD
0EC0 0EC4
0EC6 0EC6
0EDC 0EDF
0F00 0F00
0F40 0F47
0F49 0F6C
0F88 0F8C
1000 102A
103F 103F
1050 1055
105A 105D
1061 1061
1065 1066
106E 1070
1075 1081
108E 108E
10A0 10C5
10C7 10C7
10CD 10CD
10D0 10FA
10FC 1248
124A 124D
1250 1256
1258 1258
125A 125D
1260 1288
128A 128D
1290 12B0
12B2 12B5
12B8 12BE
12C0 12C0
12C2 12C5
12C8 12D6
12D8 1310
1312 1315
1318 135A
1380 138F
13A0 13F5
13F8 13FD
1401 166C
166F 167F
1681 169A
16A0 16EA
16F1 16F8
1700 1711
171F 1731
1740 1751
1760 176C
176E 1770
1780 17B3
17D7 17D7
17DC 17DC
1820 1878
1880 1884
1887 18A8
18AA 18AA
18B0 18F5
1900 191E
1950 196D
1970 1974
1980 19AB
19B0 19C9
1A00 1A16
1A20 1A54
1AA7 1AA7
1B05 1B33
1B45 1B4C
1B83 1BA0
1BAE 1BAF
1BBA 1BE5
1C00 1C23
1C4D 1C4F
1C5A 1C7D
1C80 1C8A
1C90 1CBA
1CBD 1CBF
1CE9 1CEC
1CEE 1CF3
1CF5 1CF6
1CFA 1CFA
1D00 1DBF
1E00 1F15
1F18 1F1D
1F20 1F45
1F48 1F4D
1F50 1F57
1F59 1F59
1F5B 1F5B
1F5D 1F5D
1F5F 1F7D
1F80 1FB4
1FB6 1FBC
1FBE 1FBE
1FC2 1FC4
1FC6 1FCC
1FD0 1FD3
1FD6 1FDB
1FE0 1FEC
1FF2 1FF4
1FF6 1FFC
2071 2071
207F 207F
2090 209C
2102 2102
2107 2107
210A 2113
2115 2115
2119 211D
2124 2124
2126 2126
2128 2128
212A 212D
212F 2139
213C 213F
2145 2149
214E 214E
2183 2184
2C00 2CE4
2CEB 2CEE
2CF2 2CF3
2D00 2D25
2D27 2D27
2D2D 2D2D
2D30 2D67
2D6F 2D6F
2D80 2D96
2DA0 2DA6
2DA8 2DAE
2DB0 2DB6
2DB8 2DBE
2DC0 2DC6
2DC8 2DCE
2DD0 2DD6
2DD8 2DDE
2E2F 2E2F
3005 3006
3031 3035
303B 303C
3041 3096
309D 309F
30A1 30FA
30FC 30FF
3105 312F
3131 318E
31A0 31BF
31F0 31FF
3400 4DBF
4E00 A48C
A4D0 A4FD
A500 A60C
A610 A61F
A62A A62B
A640 A66E
A67F A69D
